game_id,board_nr,player1_c,player2_c,use_gdk_p1,use_gdk_p2,starting_player,winner,repetition,n_games
61,1,0.3,0.7,True,True,2,1,0,
62,1,0.3,0.7,True,True,1,1,1,
63,1,0.3,0.7,True,True,2,2,1,
64,1,0.3,0.7,True,True,1,2,2,
65,1,0.3,0.7,True,True,2,2,2,
66,1,0.3,0.7,True,True,1,2,3,
67,1,0.3,0.7,True,True,2,2,3,
68,1,0.3,0.7,True,True,1,1,4,
69,1,0.3,0.7,True,True,2,2,4,
70,1,0.3,0.7,True,True,1,1,5,
71,1,0.3,0.7,True,True,2,1,5,
72,1,0.3,0.7,True,True,1,2,6,
73,1,0.3,0.7,True,True,2,1,6,
74,1,0.3,0.7,True,True,1,2,7,
75,1,0.3,0.7,True,True,2,1,7,
76,1,0.3,0.7,True,True,1,2,8,
77,1,0.3,0.7,True,True,2,2,8,
78,1,0.3,0.7,True,True,1,1,9,
79,1,0.3,0.7,True,True,2,2,9,
80,1,0.3,0.7,True,True,1,2,10,
81,1,0.3,0.7,True,True,2,2,10,
82,1,0.3,0.7,True,True,1,2,11,
83,1,0.3,0.7,True,True,2,2,11,
84,1,0.3,0.7,True,True,1,1,12,
85,1,0.3,0.7,True,True,2,2,12,
86,1,0.3,0.7,True,True,1,1,13,
87,1,0.3,0.7,True,True,2,1,13,
88,1,0.3,0.7,True,True,1,2,14,
89,1,0.3,0.7,True,True,2,1,14,
90,1,0.3,0.7,True,True,1,2,15,
91,1,0.3,0.7,True,True,2,1,15,
92,1,0.3,0.7,True,True,1,1,16,
93,1,0.3,0.7,True,True,2,1,16,
94,1,0.3,0.7,True,True,1,2,17,
95,1,0.3,0.7,True,True,2,1,17,
96,1,0.3,0.7,True,True,1,2,18,
97,1,0.3,0.7,True,True,2,2,18,
98,1,0.3,0.7,True,True,1,1,19,
99,1,0.3,0.7,True,True,2,1,19,
100,1,0.3,0.7,True,True,1,1,20,
101,1,0.3,0.7,True,True,2,1,20,
102,1,0.3,0.7,True,True,1,2,21,
103,1,0.3,0.7,True,True,2,2,21,
104,1,0.3,0.7,True,True,1,1,22,
105,1,0.3,0.7,True,True,2,2,22,
106,1,0.3,0.7,True,True,1,2,23,
107,1,0.3,0.7,True,True,2,1,23,
108,1,0.3,0.7,True,True,1,2,24,
109,1,0.3,0.7,True,True,2,2,24,
110,1,0.3,0.7,True,True,1,1,25,
111,1,0.3,0.7,True,True,2,1,25,
112,1,0.3,0.7,True,True,1,1,26,
113,1,0.3,0.7,True,True,2,1,26,
114,1,0.3,0.7,True,True,1,1,27,
115,1,0.3,0.7,True,True,2,1,27,
116,1,0.3,0.7,True,True,1,1,28,
117,1,0.3,0.7,True,True,2,2,28,
118,1,0.3,0.7,True,True,1,1,29,
119,1,0.3,0.7,True,True,2,1,29,
120,1,0.3,1.4142135623730951,True,True,1,2,0,
121,1,0.3,1.4142135623730951,True,True,2,1,0,
122,1,0.3,1.4142135623730951,True,True,1,1,1,
123,1,0.3,1.4142135623730951,True,True,2,1,1,
124,1,0.3,1.4142135623730951,True,True,1,2,2,
125,1,0.3,1.4142135623730951,True,True,2,1,2,
126,1,0.3,1.4142135623730951,True,True,1,2,3,
127,1,0.3,1.4142135623730951,True,True,2,1,3,
128,1,0.3,1.4142135623730951,True,True,1,2,4,
129,1,0.3,1.4142135623730951,True,True,2,1,4,
130,1,0.3,1.4142135623730951,True,True,1,2,5,
131,1,0.3,1.4142135623730951,True,True,2,2,5,
132,1,0.3,1.4142135623730951,True,True,1,2,6,
133,1,0.3,1.4142135623730951,True,True,2,1,6,
134,1,0.3,1.4142135623730951,True,True,1,2,7,
135,1,0.3,1.4142135623730951,True,True,2,1,7,
136,1,0.3,1.4142135623730951,True,True,1,2,8,
137,1,0.3,1.4142135623730951,True,True,2,1,8,
138,1,0.3,1.4142135623730951,True,True,1,2,9,
139,1,0.3,1.4142135623730951,True,True,2,2,9,
140,1,0.3,1.4142135623730951,True,True,1,1,10,
141,1,0.3,1.4142135623730951,True,True,2,1,10,
142,1,0.3,1.4142135623730951,True,True,1,1,11,
143,1,0.3,1.4142135623730951,True,True,2,2,11,
144,1,0.3,1.4142135623730951,True,True,1,1,12,
145,1,0.3,1.4142135623730951,True,True,2,1,12,
146,1,0.3,1.4142135623730951,True,True,1,2,13,
147,1,0.3,1.4142135623730951,True,True,2,1,13,
148,1,0.3,1.4142135623730951,True,True,1,2,14,
149,1,0.3,1.4142135623730951,True,True,2,1,14,
150,1,0.3,1.4142135623730951,True,True,1,1,15,
151,1,0.3,1.4142135623730951,True,True,2,2,15,
152,1,0.3,1.4142135623730951,True,True,1,1,16,
153,1,0.3,1.4142135623730951,True,True,2,2,16,
154,1,0.3,1.4142135623730951,True,True,1,2,17,
155,1,0.3,1.4142135623730951,True,True,2,1,17,
156,1,0.3,1.4142135623730951,True,True,1,2,18,
157,1,0.3,1.4142135623730951,True,True,2,2,18,
158,1,0.3,1.4142135623730951,True,True,1,1,19,
159,1,0.3,1.4142135623730951,True,True,2,1,19,
160,1,0.3,1.4142135623730951,True,True,1,1,20,
161,1,0.3,1.4142135623730951,True,True,2,1,20,
162,1,0.3,1.4142135623730951,True,True,1,2,21,
163,1,0.3,1.4142135623730951,True,True,2,2,21,
164,1,0.3,1.4142135623730951,True,True,1,1,22,
165,1,0.3,1.4142135623730951,True,True,2,1,22,
166,1,0.3,1.4142135623730951,True,True,1,2,23,
167,1,0.3,1.4142135623730951,True,True,2,1,23,
168,1,0.3,1.4142135623730951,True,True,1,1,24,
169,1,0.3,1.4142135623730951,True,True,2,1,24,
170,1,0.3,1.4142135623730951,True,True,1,1,25,
171,1,0.3,1.4142135623730951,True,True,2,2,25,
172,1,0.3,1.4142135623730951,True,True,1,1,26,
173,1,0.3,1.4142135623730951,True,True,2,1,26,
174,1,0.3,1.4142135623730951,True,True,1,2,27,
175,1,0.3,1.4142135623730951,True,True,2,1,27,
176,1,0.3,1.4142135623730951,True,True,1,2,28,
177,1,0.3,1.4142135623730951,True,True,2,1,28,
178,1,0.3,1.4142135623730951,True,True,1,2,29,
179,1,0.3,1.4142135623730951,True,True,2,2,29,
180,1,0.5,0.7,True,True,1,2,0,
181,1,0.5,0.7,True,True,2,1,0,
182,1,0.5,0.7,True,True,1,2,1,
183,1,0.5,0.7,True,True,2,2,1,
184,1,0.5,0.7,True,True,1,1,2,
185,1,0.5,0.7,True,True,2,1,2,
186,1,0.5,0.7,True,True,1,2,3,
187,1,0.5,0.7,True,True,2,1,3,
188,1,0.5,0.7,True,True,1,2,4,
189,1,0.5,0.7,True,True,2,1,4,
190,1,0.5,0.7,True,True,1,1,5,
191,1,0.5,0.7,True,True,2,1,5,
192,1,0.5,0.7,True,True,1,2,6,
193,1,0.5,0.7,True,True,2,2,6,
194,1,0.5,0.7,True,True,1,1,7,
195,1,0.5,0.7,True,True,2,1,7,
196,1,0.5,0.7,True,True,1,1,8,
197,1,0.5,0.7,True,True,2,1,8,
198,1,0.5,0.7,True,True,1,1,9,
199,1,0.5,0.7,True,True,2,2,9,
200,1,0.5,0.7,True,True,1,2,10,
201,1,0.5,0.7,True,True,2,1,10,
202,1,0.5,0.7,True,True,1,2,11,
203,1,0.5,0.7,True,True,2,1,11,
204,1,0.5,0.7,True,True,1,2,12,
205,1,0.5,0.7,True,True,2,1,12,
206,1,0.5,0.7,True,True,1,1,13,
207,1,0.5,0.7,True,True,2,2,13,
208,1,0.5,0.7,True,True,1,1,14,
209,1,0.5,0.7,True,True,2,1,14,
210,1,0.5,0.7,True,True,1,2,15,
211,1,0.5,0.7,True,True,2,2,15,
212,1,0.5,0.7,True,True,1,2,16,
213,1,0.5,0.7,True,True,2,1,16,
214,1,0.5,0.7,True,True,1,2,17,
215,1,0.5,0.7,True,True,2,2,17,
216,1,0.5,0.7,True,True,1,2,18,
217,1,0.5,0.7,True,True,2,1,18,
218,1,0.5,0.7,True,True,1,1,19,
219,1,0.5,0.7,True,True,2,2,19,
220,1,0.5,0.7,True,True,1,2,20,
221,1,0.5,0.7,True,True,2,1,20,
222,1,0.5,0.7,True,True,1,2,21,
223,1,0.5,0.7,True,True,2,2,21,
224,1,0.5,0.7,True,True,1,1,22,
225,1,0.5,0.7,True,True,2,1,22,
226,1,0.5,0.7,True,True,1,2,23,
227,1,0.5,0.7,True,True,2,2,23,
228,1,0.5,0.7,True,True,1,1,24,
229,1,0.5,0.7,True,True,2,1,24,
230,1,0.5,0.7,True,True,1,1,25,
231,1,0.5,0.7,True,True,2,2,25,
232,1,0.5,0.7,True,True,1,1,26,
233,1,0.5,0.7,True,True,2,2,26,
234,1,0.5,0.7,True,True,1,1,27,
235,1,0.5,0.7,True,True,2,2,27,
236,1,0.5,0.7,True,True,1,2,28,
237,1,0.5,0.7,True,True,2,1,28,
238,1,0.5,0.7,True,True,1,2,29,
239,1,0.5,0.7,True,True,2,2,29,
240,1,0.5,1.4142135623730951,True,True,1,2,0,
241,1,0.5,1.4142135623730951,True,True,2,2,0,
242,1,0.5,1.4142135623730951,True,True,1,1,1,
243,1,0.5,1.4142135623730951,True,True,2,1,1,
244,1,0.5,1.4142135623730951,True,True,1,1,2,
245,1,0.5,1.4142135623730951,True,True,2,1,2,
246,1,0.5,1.4142135623730951,True,True,1,2,3,
247,1,0.5,1.4142135623730951,True,True,2,2,3,
248,1,0.5,1.4142135623730951,True,True,1,1,4,
249,1,0.5,1.4142135623730951,True,True,2,1,4,
250,1,0.5,1.4142135623730951,True,True,1,1,5,
251,1,0.5,1.4142135623730951,True,True,2,1,5,
252,1,0.5,1.4142135623730951,True,True,1,1,6,
253,1,0.5,1.4142135623730951,True,True,2,1,6,
254,1,0.5,1.4142135623730951,True,True,1,1,7,
255,1,0.5,1.4142135623730951,True,True,2,2,7,
256,1,0.5,1.4142135623730951,True,True,1,2,8,
257,1,0.5,1.4142135623730951,True,True,2,2,8,
258,1,0.5,1.4142135623730951,True,True,1,2,9,
259,1,0.5,1.4142135623730951,True,True,2,1,9,
260,1,0.5,1.4142135623730951,True,True,1,2,10,
261,1,0.5,1.4142135623730951,True,True,2,1,10,
262,1,0.5,1.4142135623730951,True,True,1,1,11,
263,1,0.5,1.4142135623730951,True,True,2,2,11,
264,1,0.5,1.4142135623730951,True,True,1,2,12,
265,1,0.5,1.4142135623730951,True,True,2,1,12,
266,1,0.5,1.4142135623730951,True,True,1,2,13,
267,1,0.5,1.4142135623730951,True,True,2,1,13,
268,1,0.5,1.4142135623730951,True,True,1,2,14,
269,1,0.5,1.4142135623730951,True,True,2,1,14,
270,1,0.5,1.4142135623730951,True,True,1,1,15,
271,1,0.5,1.4142135623730951,True,True,2,2,15,
272,1,0.5,1.4142135623730951,True,True,1,2,16,
273,1,0.5,1.4142135623730951,True,True,2,1,16,
274,1,0.5,1.4142135623730951,True,True,1,2,17,
275,1,0.5,1.4142135623730951,True,True,2,1,17,
276,1,0.5,1.4142135623730951,True,True,1,1,18,
277,1,0.5,1.4142135623730951,True,True,2,1,18,
278,1,0.5,1.4142135623730951,True,True,1,1,19,
279,1,0.5,1.4142135623730951,True,True,2,2,19,
280,1,0.5,1.4142135623730951,True,True,1,2,20,
281,1,0.5,1.4142135623730951,True,True,2,1,20,
282,1,0.5,1.4142135623730951,True,True,1,1,21,
283,1,0.5,1.4142135623730951,True,True,2,2,21,
284,1,0.5,1.4142135623730951,True,True,1,2,22,
285,1,0.5,1.4142135623730951,True,True,2,2,22,
286,1,0.5,1.4142135623730951,True,True,1,2,23,
287,1,0.5,1.4142135623730951,True,True,2,1,23,
288,1,0.5,1.4142135623730951,True,True,1,1,24,
289,1,0.5,1.4142135623730951,True,True,2,2,24,
290,1,0.5,1.4142135623730951,True,True,1,1,25,
291,1,0.5,1.4142135623730951,True,True,2,2,25,
292,1,0.5,1.4142135623730951,True,True,1,2,26,
293,1,0.5,1.4142135623730951,True,True,2,2,26,
294,1,0.5,1.4142135623730951,True,True,1,2,27,
295,1,0.5,1.4142135623730951,True,True,2,2,27,
296,1,0.5,1.4142135623730951,True,True,1,2,28,
297,1,0.5,1.4142135623730951,True,True,2,2,28,
298,1,0.5,1.4142135623730951,True,True,1,1,29,
299,1,0.5,1.4142135623730951,True,True,2,1,29,
300,1,0.7,1.4142135623730951,True,True,1,1,0,
301,1,0.7,1.4142135623730951,True,True,2,1,0,
302,1,0.7,1.4142135623730951,True,True,1,1,1,
303,1,0.7,1.4142135623730951,True,True,2,1,1,
304,1,0.7,1.4142135623730951,True,True,1,2,2,
305,1,0.7,1.4142135623730951,True,True,2,2,2,
306,1,0.7,1.4142135623730951,True,True,1,2,3,
307,1,0.7,1.4142135623730951,True,True,2,1,3,
308,1,0.7,1.4142135623730951,True,True,1,1,4,
309,1,0.7,1.4142135623730951,True,True,2,1,4,
310,1,0.7,1.4142135623730951,True,True,1,2,5,
311,1,0.7,1.4142135623730951,True,True,2,1,5,
312,1,0.7,1.4142135623730951,True,True,1,2,6,
313,1,0.7,1.4142135623730951,True,True,2,2,6,
314,1,0.7,1.4142135623730951,True,True,1,1,7,
315,1,0.7,1.4142135623730951,True,True,2,2,7,
316,1,0.7,1.4142135623730951,True,True,1,1,8,
317,1,0.7,1.4142135623730951,True,True,2,2,8,
318,1,0.7,1.4142135623730951,True,True,1,2,9,
319,1,0.7,1.4142135623730951,True,True,2,2,9,
320,1,0.7,1.4142135623730951,True,True,1,2,10,
321,1,0.7,1.4142135623730951,True,True,2,2,10,
322,1,0.7,1.4142135623730951,True,True,1,2,11,
323,1,0.7,1.4142135623730951,True,True,2,1,11,
324,1,0.7,1.4142135623730951,True,True,1,2,12,
325,1,0.7,1.4142135623730951,True,True,2,1,12,
326,1,0.7,1.4142135623730951,True,True,1,2,13,
327,1,0.7,1.4142135623730951,True,True,2,2,13,
328,1,0.7,1.4142135623730951,True,True,1,1,14,
329,1,0.7,1.4142135623730951,True,True,2,1,14,
330,1,0.7,1.4142135623730951,True,True,1,1,15,
331,1,0.7,1.4142135623730951,True,True,2,2,15,
332,1,0.7,1.4142135623730951,True,True,1,1,16,
333,1,0.7,1.4142135623730951,True,True,2,2,16,
334,1,0.7,1.4142135623730951,True,True,1,2,17,
335,1,0.7,1.4142135623730951,True,True,2,2,17,
336,1,0.7,1.4142135623730951,True,True,1,2,18,
337,1,0.7,1.4142135623730951,True,True,2,1,18,
338,1,0.7,1.4142135623730951,True,True,1,2,19,
339,1,0.7,1.4142135623730951,True,True,2,1,19,
340,1,0.7,1.4142135623730951,True,True,1,1,20,
341,1,0.7,1.4142135623730951,True,True,2,1,20,
342,1,0.7,1.4142135623730951,True,True,1,1,21,
343,1,0.7,1.4142135623730951,True,True,2,1,21,
344,1,0.7,1.4142135623730951,True,True,1,1,22,
345,1,0.7,1.4142135623730951,True,True,2,2,22,
346,1,0.7,1.4142135623730951,True,True,1,2,23,
347,1,0.7,1.4142135623730951,True,True,2,1,23,
348,1,0.7,1.4142135623730951,True,True,1,2,24,
349,1,0.7,1.4142135623730951,True,True,2,1,24,
350,1,0.7,1.4142135623730951,True,True,1,1,25,
351,1,0.7,1.4142135623730951,True,True,2,1,25,
352,1,0.7,1.4142135623730951,True,True,1,1,26,
353,1,0.7,1.4142135623730951,True,True,2,1,26,
354,1,0.7,1.4142135623730951,True,True,1,1,27,
355,1,0.7,1.4142135623730951,True,True,2,1,27,
356,1,0.7,1.4142135623730951,True,True,1,2,28,
357,1,0.7,1.4142135623730951,True,True,2,1,28,
358,1,0.7,1.4142135623730951,True,True,1,2,29,
359,1,0.7,1.4142135623730951,True,True,2,1,29,
