game_id,board_nr,player1,player2,starting_player,winner,repetition,n_moves,player1_avg_n_nodes,player2_avg_n_nodes,player1_avg_n_iter,player2_avg_n_iter,sudden_win_found,avg_depth,max_depth,min_depth,avg_n_entries_tptable
255,1,MCTS-AB,MCTS-PNS,2,1,2,13,12314.4,18330.166666666668,12631.4,19586.333333333332,True,0,0,0,
256,1,MCTS-AB,MCTS-PNS,1,2,3,13,13189.666666666666,12729.285714285714,15968.666666666666,25556.428571428572,False,0,0,0,
257,1,MCTS-AB,MCTS-PNS,2,1,3,33,12358.666666666666,12975.125,12557.866666666667,16185.4375,True,0,0,0,
258,1,MCTS-AB,MCTS-PNS,1,2,4,33,13433.0,13918.588235294117,21459.875,24675.941176470587,False,0,0,0,
259,1,MCTS-AB,MCTS-PNS,2,2,4,59,15710.066666666668,15162.48275862069,82302.6,44834.31034482759,False,0,0,0,
260,1,MCTS-AB,MCTS-PNS,1,2,5,60,13238.566666666668,13162.433333333332,100754.93333333333,51437.73333333333,False,0,0,0,
261,1,MCTS-AB,MCTS-PNS,2,2,5,8,15678.75,10237.25,17238.0,33027.0,False,0,0,0,
262,1,MCTS-AB,MCTS-PNS,1,2,6,27,15399.0,14264.357142857143,19251.76923076923,23894.14285714286,False,0,0,0,
263,1,MCTS-AB,MCTS-PNS,2,1,6,25,11199.0,15232.666666666666,11436.454545454546,17291.25,True,0,0,0,
264,1,MCTS-AB,MCTS-PNS,1,0.5,7,61,12813.966666666667,12554.129032258064,72700.86666666667,92531.51612903226,False,0,0,0,
265,1,MCTS-AB,MCTS-PNS,2,1,7,19,15044.5,17200.444444444445,15521.5,18988.666666666668,True,0,0,0,
266,1,MCTS-AB,MCTS-PNS,1,2,8,13,16124.666666666666,12318.0,17955.666666666668,25518.14285714286,False,0,0,0,
267,1,MCTS-AB,MCTS-PNS,2,1,8,56,11827.153846153846,12958.107142857143,14676.615384615385,50697.21428571428,True,0,0,0,
268,1,MCTS-AB,MCTS-PNS,1,1,9,14,13754.8,16368.285714285714,13777.0,17719.428571428572,True,0,0,0,
269,1,MCTS-AB,MCTS-PNS,2,1,9,39,12728.333333333334,17523.57894736842,15083.0,24624.57894736842,True,0,0,0,
270,1,MCTS-AB,MCTS-PNS,1,1,10,61,12851.392857142857,12927.548387096775,34776.42857142857,108175.32258064517,True,0,0,0,
